_id,date,status,name_of_firm,dunsnumber,address_line_1,address_line_2,city,state,zip,full_address,phone_no,fax,email,company_website,e-commerce_website,contact_person,county_code,congressional_district,metropolitan_statistical_area,cage_code,year_established,accepts_govt_credit_card,gsa_advantage_contract,legal_structure,ownership_and_self_certifications,current_principals,business_development_servicing_office,8(a)_case_number,8(b)_entrance_date,8(c)_exit_date,is_hubzone_certified,jv entrance date,jv_exit_date,is_wosb_certified,is_edwosb_certified,non_federal_government_certifications,capabilities_narrative,special_equipment_materials,business_type_percentages,construction_bonding_level_per_contract,construction_bonding_level_aggregate,service_bonding_level_per_contract,service_bonding_level_aggregate,primarynaicscode,primarynaicscodedescription,additionalnaicscode,good_keywords,quality_assurance_standards,is_electronic_data_interchange_capable,is_exporter,export_business_activities,exporting_to,desired_export_business_relationships,description_of_export_objectives,performance_history_references
P2247299,09/16/2020,Active,PENNANT MARINE SERVICES INCORPORATED,035179887,8000 STRATFORD DRIVE,,IRVINGTON,AL,36544-4120,"8000 STRATFORD DRIVE,IRVINGTON,AL,36544-4120",251-206-5256,,jkrause@pennantmarine.com,www.pennantmarine.com,,Charles Krause,097,01,5160,7YKZ1,2016,Yes,,Subchapter S Corporation,,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,"['811211', '811219']",,,,,,,,,
P0706708,02/13/2020,Active,"DAVISON FUELS, INC.",832142348,8450 TANNER WILLIAMS RD,,MOBILE,AL,36608-8316,"8450 TANNER WILLIAMS RD,MOBILE,AL,36608-8316",251-633-4446 x222,251-639-4755,todd@davisonfuels.com,www.davisonfuels.com,,TODD DAVISON DAVISON,097,01,5160,478S4,1999,Yes,,Subchapter S Corporation,Self-Certified Small Disadvantaged Business,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),['324110'],,,,,,,,,
P0834690,03/31/2020,Active,Southern Truck & Equipment Inc,199856881,6630 Boykin Rd,,Theodore,AL,36582-3900,"6630 Boykin Rd,Theodore,AL,36582-3900",251-653-4716,,bmsmith@mchsi.com,,,Brian M Smith,097,01,5160,4MX12,1987,Yes,,Subchapter S Corporation,Self-Certified Small Disadvantaged Business,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,531130,"Lessors of Miniwarehouses and Self-Storage Units
General $27.50m Small Business Size Standard: [Yes]
Special $38.50m Leasing of Building Space to the Federal Government by Owners: [Yes]",,,,,,,,,,
P1525464,02/27/2020,Active,"M.A. BAHETH CONSTRUCTION COMPANY, INC.",968193297,307 N UNIVERSITY BLVD,,MOBILE,AL,36688-0001,"307 N UNIVERSITY BLVD,MOBILE,AL,36688-0001",251-345-1060,251-380-9004,aec@brdl-ltd.com,,http://aec@brdl-ltd.com,Arbuties E. Cotton,097,01,5160,6E3C9,1976,No,,,"Black American, Other Minority Owned, Self-Certified Small Disadvantaged Business, Economically Disadvantaged Women-Owned Small Business, Women-Owned Small Business, Woman Owned",,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,$0,$0,$0,$0,237990,"Other Heavy and Civil Engineering Construction
General $36.50m Small Business Size Standard: [Yes]
Special $27.50m Dredging and Surface Cleanup Activities: [Yes] (4)","['237310', '238910', '562119']",HEAVY CONSTRUCTION,,,,,,,,
P2563002,12/03/2020,Active,BAY NURSING INC,029830186,62 MIDTOWN PARK E,,MOBILE,AL,36606-4140,"62 MIDTOWN PARK E,MOBILE,AL,36606-4140",251-471-3343,,TIMMATTOX@BAYNURSING.COM,,,Tim mattox,097,01,5160,8T1E5,1997,Yes,,,Self-Certified Small Disadvantaged Business,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,621610,Home Health Care Services,,,,,,,,,,
P2423465,12/01/2020,Active,BROTHER & BROTHERS TRUCKING LLC,113967503,59 GULF ST,,CHICKASAW,AL,36611-2503,"59 GULF ST,CHICKASAW,AL,36611-2503",251-721-5811,,Jermainedickinson5@gmail.com,,,Jermaine Dickinson,097,01,5160,8G8K3,2019,No,,,"Black American, Other Minority Owned",,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","['484110', '813930', '813940']",,,,,,,,,
P1155249,04/29/2020,Active,"SOUTHERN GAS AND SUPPLY, INC.",098277242,5500 E RITE RD,,THEODORE,AL,36582-0000,"5500 E RITE RD,THEODORE,AL,36582-0000",251-654-0080,251-654-0091,kevin.kennedy@gasandsupply.com,http://www.gasandsupply.com,,Kevin Kennedy,097,01,5160,5SFK7,2001,Yes,,,,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,325120,Industrial Gas Manufacturing,"['332312', '332710']",,,,,,,,,
P2418756,01/21/2021,Active,"W&S HOLDINGS, LLC",065096585,21180 STATE HIGHWAY 181 STE A,,FAIRHOPE,AL,36532-7453,"21180 STATE HIGHWAY 181 STE A,FAIRHOPE,AL,36532-7453",251-583-0308,,wagner.ronnie@gmail.com,,,Ronnie Wagner,003,01,5160,8FN73,2012,Yes,,LLC,Self-Certified Small Disadvantaged Business,,ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,,,,,,,,531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)
General $27.50m Small Business Size Standard: [Yes]
Special $38.50m Leasing of Building Space to the Federal Government by Owners: [Yes] (4)",['531130'],,,,,,,,,
P0336228,10/08/2020,Active,"Anderson & Associates, Inc.",093180628,3715 Lakeside Dr S,,Mobile,AL,36693-5155,"3715 Lakeside Dr S,Mobile,AL,36693-5155",251-660-1414,251-660-1416,wsephton@andersonandassoc.com,andersonandassoc.com,,WENDY SEPHTON,097,01,5160,3C2A7,1978,No,,Subchapter S Corporation,Self-Certified Small Disadvantaged Business,"1. David Milam, President
2. Buddy Roberts, Vice President",ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,"Licensed Roofing
Licensed Siding","Wholesale distributor of Architectural Metal Products, including building envelope and building specialties.","Metal Roofing, Metal Siding, Commercial/Industrial Fiberglass Reinforced Siding and Roofing, Architectural Specialties, Aluminum Composite Siding, Insulated Metal Panels","Construction (90 %)
Service (10 %)",$0,$0,$0,$0,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers","['238160', '238170', '332311', '332322', '423390']","Metal Roofing, Metal Wall Panels, ACM, Metal Decking, Metal Bldg Component, Exp Joint Covers, Aluminum Canopies, Radius Metal Panels, Manufactured Coping, Architectural Column Covers",,,No,,,,,
P0922659,01/11/2021,Active,"S. J. & L., INC.",104125943,4591 CYPRESS BUSINESS PARK DR,,MOBILE,AL,36619-9550,"4591 CYPRESS BUSINESS PARK DR,MOBILE,AL,36619-9550",251-661-7926 x226,251-660-8364,cory@sjlcontractors.com,http://www.sjlcontractors.com,,Cory B Holcomb,097,01,5160,4YAJ6,1978,No,,Subchapter S Corporation,Self-Certified Small Disadvantaged Business,"1. MICHAEL B. TEW, CEO
2. JEFFREY W RODE, VP",ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,"For over thirty three years, S J & L, Inc. has been Southwest Alabama’s best choice for heavy civil construction, utilities and site development. Please visit our website at www.sjlcontractors.com to learn more about us.",,"Construction (95 %)
Service (5 %)","$5,000,000","$10,000,000","$2,000,000","$4,000,000",624230,Emergency and Other Relief Services,"['236210', '236220', '237110', '237210', '237310', '237990', '238910']","SITE, WATER, SEWER, PAVING, ROADS, DRAINAGE, HORIZONTAL BORES, EARTHWORK, PARKING LOTS, CURB, SIDEWALK, TRAFFIC CONTROL, EROSION CONTROL",,,No,,,,,"Name: GRAY CONSTRUCTION
Contract: NICK WALTER
Start: 07/16/2008
End: 09/01/2009
Value: 9,200,000
Contact: NICK WALTER
Phone: 205-380-1834"
P0691146,03/07/2020,Active,"Integrated Electronic Technologies, Inc.",040222585,4324 Midmost Dr Ste 203,,Mobile,AL,36609-5522,"4324 Midmost Dr Ste 203,Mobile,AL,36609-5522",251-338-6023,251-272-1975,dgantt@ietcompanies.com,http://www.ietCompanies.com,,Don Gantt,097,01,5160,45PW7,2000,Yes,,,Woman Owned,"1. Sandra Hughes, President",ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,,"Sell and install security equipment for commercial, industrial and government customers.",,,$0,$0,$0,$0,561621,Security Systems Services (except Locksmiths),"['221114', '237130', '238210', '238290', '238990', '332710', '334511', '335312', '423430', '423610', '512110', '515210', '517410', '517911', '517919', '519130', '561622', '624221', '624230', '811211', '811212', '811213', '811219']","security, alarm, intercom, cctv, surveillance, access control, audio, video",,,Yes,"Manufacturer, Distributor/Agent, Retailer, Service(s)","Anguilla; Belize; Gambia, The; Panama",Direct export sales,"sell, install and service high end surveillance and security equipment.",
P0343886,02/22/2020,Active,"AMERICAN TANK & VESSEL, INC.",078039237,1005 GOVERNMENT ST,,MOBILE,AL,36604-2437,"1005 GOVERNMENT ST,MOBILE,AL,36604-2437",251-432-8265,251-433-3661,wjcutts@atvmob.com,http://www.at-v.com,http://www.at-v.com,WILLIAM J CUTTS,097,01,5160,3X821,1982,No,,,,"1. William J. Cutts, CEO
2. James W. Davidson, Dir., Vice President - Operations
3. William T. Cutts, Dir., Vice President - Regional Manager
4. Thomas F. Bentley, Dir., Vice President - Estimating
5. Ken Odom, Vice President - Finance",ALABAMA DISTRICT OFFICE (SBA office code 0459),,,,No,,,No,No,"ASME Sec VIII
1&2
ASME U Stamp
ASME U2 Stamp
ASME R Stamp","Steel Storage Tanks: (ALL types/materials) API-620,650. 650S, 653, AWWA D100 including Floating roofs, low-temp and low pressure tanks. Pressure Vessels: (All types/materials) ASME Sec VIII, Div 1 & 2, U, U2 and R stamps. Including Spheres and Towers.","Plate rolls, heavy-walled plate forming and dishing machines, angle rolls, pipe rolls, welding machines, overhead cranes, stress-relieving furnace, filed erection cranes and gear, long-haul trucks, Rail siding and deep port access.","Construction (33 %)
Manufacturing (49 %)
Research and Development (3 %)
Service (15 %)","$15,000,000","$25,000,000",$0,"$25,000,000",332420,Metal Tank (Heavy Gauge) Manufacturing,"['236210', '236220', '237120', '332313', '336419']","stainless steel tank, tanks, vessels, steel vessel, spheres, aluminum alloy tanks, gasholders, ASME, towers, reactor tank, digester, coke drum, water tank, silo, bin, hopper, cp system, wind tunnel, double wall tank, pressure vessel, API-650 tank, API-650S, API-650, API-620",,,Yes,Manufacturer,Ghana,Contract manufacturing,"Design, fabricate and export large steel costume equipment for industrial or marine use.","Name: BE&K
Contract: 01-0184-C0009
Start: 11/29/2001
End: 08/28/2002
Value: $515,678.27
Contact: David Mayfield
Phone: 205-972-6541


Name: BOC Gases
Contract: 8042CON0001
Start: 01/25/2001
End: 05/14/2002
Value: $1,482,385.07
Contact: Jim Zaccaro
Phone: 908-771-6020


Name: Unocal
Contract: 151-BMT-434-M
Start: 05/02/2001
End: 09/11/2002
Value: $3,406,701.49
Contact: Walley Guidry
Phone: 409-724-3207


Name: Pro-Quip Corporation
Contract: PQ70-23984
Start: 04/01/2001
End: 02/01/2002
Value: $1,663,144.10
Contact: Bill Dennis
Phone: 918-250-8522


Name: Department of Energy/Fluor Fernald
Contract: FWOR-SC624-00-0056
Start: 04/01/2000
End: 09/01/2001
Value: $1,758,410.08
Contact: Rick Holbrook
Phone: 513-648-4622


Name: Bell Constructors
Contract: C92170
Start: 01/01/2000
End: 12/01/2002
Value: $1,300,500.78
Contact: Andy Carayiannis
Phone: 585-277-1000


Name: U. S. Army Corps of Engineers
Contract: DACA01-97-C-0078
Start: 10/05/1997
End: 04/01/1999
Value: $6,657,246.00
Contact: Willard Williams
Phone: 941-454-3370


Name: Engineering Field Activity Southeast
Contract: N62467-95-C-1019
Start: 06/14/1998
End: 10/31/2002
Value: $4,090,330.15
Contact: Don Gillis
Phone: 904-509-8788


Name: U. S. Government/CMC Construction
Contract: F5-2681-01-S01-1035
Start: 06/14/2002
End: 09/18/2002
Value: $367,850.05
Contact: Rex Armstrong
Phone: 865-482-3999


Name: Stolthaven New Orleans, LLC
Contract: 179470C
Start: 07/19/2000
End: 03/23/2001
Value: $6,502,209.00
Contact: Ron Lubbe
Phone: 504-682-9784"
